"source_id","lat_dec","long_dec"
"575003","44.3667","-68.0581"
"562210","44.3367","-68.0622"
"569911","44.3334","-68.0500"
"561286","44.3351","-68.0544"
"579095","44.3645","-68.0811"
"577451","44.3592","-68.0989"
"577454","44.3517","-68.1003"
"570781","44.3620","-68.0867"
"581466","44.3659","-68.0903"
"567961","44.3726","-68.1081"
"576003","44.3679","-68.1003"
"579090","44.3756","-68.1036"
"581879","44.3676","-68.0939"
"567340","44.3826","-68.0958"
"580859","44.3695","-68.0883"
"567341","44.3717","-68.0886"
"580690","44.3729","-68.0978"
"581421","44.3756","-68.0747"
"581670","44.3854","-68.0792"
"574825","44.3879","-68.0914"
"1911675","44.3865","-68.0858"
"578910","44.3890","-68.0883"
"581436","44.3931","-68.0825"
"578605","44.3954","-68.0831"
"565810","44.3540","-68.1372"
"568677","44.3920","-68.1333"
"564144","44.3956","-68.1197"
"575091","44.3795","-68.1353"
"566210","44.3923","-68.1453"
"567491","44.4054","-68.1270"
"568988","44.4131","-68.1247"
"576286","44.4242","-68.1258"
"576284","44.4387","-68.1353"
"578751","44.4176","-68.1356"
"581921","44.4406","-68.1217"
"579753","44.4156","-68.1058"
"575845","44.4298","-68.1075"
"563177","44.4792","-68.1292"
"563352","44.4634","-68.1556"
"569722","44.4551","-68.1503"
"580879","44.4520","-68.1500"
"579967","44.4687","-68.1386"
"567471","44.4631","-68.1325"
"570241","44.4681","-68.1417"
"579084","44.4809","-68.1597"
"577909","44.4915","-68.1789"
"575366","44.4759","-68.1525"
"561315","44.4762","-68.1470"
"578913","44.4779","-68.1342"
"574988","44.4817","-68.1347"
"578150","44.4695","-68.0903"
"568959","44.4679","-68.1008"
"565691","44.5037","-68.1522"
"565735","44.4698","-68.1736"
"573773","44.4654","-68.1731"
"575735","44.4692","-68.1783"
"565276","44.4684","-68.1889"
"575734","44.4734","-68.1772"
"576512","44.4895","-68.2086"
"561786","44.4762","-68.2061"
"561404","44.4767","-68.1814"
"581402","44.4717","-68.2203"
"567559","44.4662","-68.2253"
"571031","44.4951","-68.2195"
"576510","44.5204","-68.1967"
"576511","44.5206","-68.2208"
"564443","44.4931","-68.2389"
"566026","44.5217","-68.2211"
"566114","44.5162","-68.2133"
"578230","44.5306","-68.2311"
"577908","44.5234","-68.2386"
"575522","44.4729","-68.2550"
"574849","44.4387","-68.2683"
"569495","44.4304","-68.2458"
"581764","44.4279","-68.2339"
"561540","44.4212","-68.2106"
"561541","44.4162","-68.2156"
"561567","44.3959","-68.1933"
"561578","44.3990","-68.2036"
"575358","44.4001","-68.1928"
"561537","44.3873","-68.1806"
"581870","44.3851","-68.1875"
"561569","44.3876","-68.2039"
"564549","44.3801","-68.1956"
"563268","44.4048","-68.1781"
"574575","44.4045","-68.1733"
"570313","44.4065","-68.1617"
"576825","44.4123","-68.1553"
"576934","44.3637","-68.1767"
"580678","44.3542","-68.1786"
"575033","44.3444","-68.1752"
"567150","44.3285","-68.1748"
"572736","44.3351","-68.1708"
"572150","44.3273","-68.1811"
"572727","44.3223","-68.1786"
"572830","44.3076","-68.1908"
"572815","44.3106","-68.1975"
"572442","44.2945","-68.2800"
"575101","44.2926","-68.2411"
"581388","44.2409","-68.1983"
